placeName,category,addressJibun,addressDoro,longitude,latitude,placeUrl
샤인렌트카,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 이도이동 1024-13,제주특별자치도 제주시 구남로7길 13-7,126.5336193,33.49411228,http://place.map.kakao.com/7940644
렌트인제주,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 이도일동 1245-26,제주특별자치도 제주시 동광로 43,126.5330947,33.50284494,http://place.map.kakao.com/1985385539
렌트인제주,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 이도이동 1061-4,제주특별자치도 제주시 고산동산5길 42,126.5367477,33.49750319,http://place.map.kakao.com/1619669498
올댓제주아일랜드,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 도남동 693-1,제주특별자치도 제주시 복지로5길 2,126.5242093,33.4895433,http://place.map.kakao.com/1979062307
에이치비소프트,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 삼도이동 154,제주특별자치도 제주시 중앙로14길 21,126.5220865,33.51085237,http://place.map.kakao.com/1448975371
우도한바퀴,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 우도면 연평리 1745-1,제주특별자치도 제주시 우도면 우도로 6,126.9517269,33.49340453,http://place.map.kakao.com/533450367
자보렌트카,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 오라이동 2213-2,제주특별자치도 제주시 오라로 66,126.5101272,33.49550386,http://place.map.kakao.com/2001392507
차세대렌트카 제주지점,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 오라이동 2213-2,제주특별자치도 제주시 오라로 66,126.5101356,33.49552913,http://place.map.kakao.com/386041191
제주수지렌트카,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 삼도일동 521-7,제주특별자치도 제주시 평전길 13,126.5190795,33.50109995,http://place.map.kakao.com/531388305
제주렌트카닷컴,"서비스,산업 > 전문대행 > 렌터카",제주특별자치도 제주시 삼도일동 521-7,제주특별자치도 제주시 평전길 13,126.5190795,33.50109995,http://place.map.kakao.com/2019292758
